process,relevant,sentiment,gender,dizziness,convulsions,heart palpitations,shortness of breathe,headaches,drug effect decreased,allergies worse after taking drug,bad interaction between claritin and another drug.,nausea ,caused insomnia
good kid good parent allergy help discount claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
new farmacia online claritin online order day online australia,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
new free claritin usa visa,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
new genuine claritin sale visa electron,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
claritin mg,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
claritin agression,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
claritin bad kid,yes,2,unknown,no,no,no,no,no,no,no,no,no,no
claritin bad kid,yes,2,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
claritin breastfeeding,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
claritin fda,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
claritin generic,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
claritin side,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
claritin tablet,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
dosage claritin,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
dosage claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
generic claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
lortab claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
side effect claritin child,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
singulair claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
taking claritin zyrtec together,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
withdrawal claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
zyrtec claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
fotografia scorpioblue happens allergy bad take claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
well wholeliving mag make strange claritin,yes,2,female,no,no,no,no,no,no,no,no,no,no
want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
grind morning allergy stress caffeine claritin stressball workflow dunkin coffee runondunkin,yes,3,female,no,no,no,no,no,no,no,no,no,no
woke cuz allergy acting bought claritin add six pill tho smh,yes,3,male,no,no,no,no,no,no,no,no,no,no
oh sweet relief fall cold allergy sinus claritin hottea water hall alkaselt east bound,yes,4,female,no,no,no,no,no,no,no,no,no,no
best day ever claritin model candy bar chem,no,,,,,,,,,,,,
refuse sick kill shit one time lol claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
new asthma med minus claritin ugh,yes,2,female,no,no,no,no,no,no,no,no,no,no
week taking medicine still feeling like shit claritin dayquil mucinex,yes,2,female,no,no,no,no,no,no,yes,no,no,no
girl text heyy sick want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
need stupid allergy claritin liquigels,yes,4,male,no,no,no,no,no,no,no,no,no,no
claritin clear mind,yes,3,female,no,no,no,no,no,no,no,no,no,no
high claritin lol,yes,4,female,no,no,no,no,no,no,no,no,no,no
someone give romney claritin maybe cry obama killin debate obama,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin liquigel fahktheseallergies,yes,3,female,no,no,no,no,no,no,no,no,no,no
sleeping baking decorating halloween cupcake cv hr claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
lunch ay desk working blog allergy kicking took claritin amp getting,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
say hello little friend mr claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
sup mr fisher haha claritin hot mrfisher teacher commercial,yes,3,female,no,no,no,no,no,no,no,no,no,no
prettysaint cold amp allergy season among u unfortunately living claritin sinus wash,yes,4,male,no,no,no,no,no,no,no,no,no,no
taken claritin pump nasonex vitamin c wishing take benedryl cause eye nose,yes,2,female,no,no,no,no,no,no,no,no,no,no
claritin big rehab helping today screwyouallergies,yes,4,male,no,no,no,no,no,no,no,no,no,no
since claritin work anymore let hope allergy never bad,yes,2,female,no,no,no,no,no,yes,no,no,no,no
claritin clear johnmasseshow,yes,3,male,no,no,no,no,no,no,no,no,no,no
claritin friend since home,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
bad cold achooo claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
take downstairs get claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
stupid allergy orangejuice claritin allerigessuck,yes,3,male,no,no,no,no,no,no,no,no,no,no
poppin molly ahaha jk claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
death one day allergy claritin relief,yes,3,female,no,no,no,no,no,no,no,no,no,no
praise lord king size bed claritin,yes,5,female,no,no,no,no,no,no,no,no,no,no
claritin please kick soon gahhh need feel better work allergy sinuspressure fml,yes,2,female,no,no,no,no,no,no,no,no,no,no
cheap claritin ups,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
ada segepok malah haha clarinase aj jenk rt captainpitha diaraunguviolet ada sebutir claritin nganggur,non_english,,,,,,,,,,,,
rt haitianredbone took tylenol mg claritin mg robitussin dm ml drank hot lemon tea,yes,3,female,no,no,no,no,no,no,no,no,no,no
tank looking end table barking growling lol want cough drop claritin nail clipper,yes,4,female,no,no,no,no,no,no,no,no,no,no
buy dozen cal semiauto weapon day pack claritin time,yes,2,male,no,no,no,no,no,no,no,no,no,no
spookclub yeah totally want claritin allergy season,yes,4,female,no,no,no,no,no,no,no,no,no,no
tutzaii alerta claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
free claritin child adult cv,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
kroger generic claritin per tablet,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
cold allergy symptom child claritin grape chewables review,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
got hive arm took two claritin feel horrible one itch,yes,2,male,no,no,no,no,no,no,yes,no,no,no
claritin child alergy oz grape syrup chewables,yes,3,female,no,no,no,no,no,no,no,no,no,no
cv ad preview coupon match ups claritin candy via posh budget october,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
cv ad preview coupon match ups claritin candy via posh budget october,no,,,,,,,,,,,,
cv ad preview coupon match ups claritin candy via posh budget october,yes,3,female,no,no,no,no,no,no,no,no,no,no
cv ad preview coupon match ups claritin candy via posh budget october,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
cv ad preview coupon match ups claritin candy via posh budget october,yes,3,female,no,no,no,no,no,no,no,no,no,no
cv ad preview coupon match ups claritin candy via posh budget october,yes,3,female,no,no,no,no,no,no,no,no,no,no
cv ad preview coupon match ups claritin candy via poshonabudget,yes,3,female,no,no,no,no,no,no,no,no,no,no
cheap claritin resonably priced without prescription,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
gt gt equate child allergy relief loratadine oral solution grape oz compare claritin top deal th,non_english,,,,,,,,,,,,
possible buy real claritin sale bangkok,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
member mark loratadine mg tablet compare claritin,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
claritin coupon,yes,3,female,no,no,no,no,no,no,no,no,no,no
save claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
membrs mark loratadine r mg r tablet compare claritin cold health wateryeyes,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin reditabs hour allergy non drowsy loratadine orally disintegrating tablet tablet sinus pain,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
claritin kid great indoor outdoor,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
spookclub yeah totally want claritin allergy season,yes,4,female,no,no,no,no,no,no,no,no,no,no
either tired dire need claritin unsure dance,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
yeah totally want claritin allergy season,yes,5,female,no,no,no,no,no,no,no,no,no,no
photo hive worst event allergy fall pollen benadryl mucinex claritin nature taken,yes,3,male,no,no,no,no,no,no,no,no,no,no
claritin coupon,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
claritin coupon,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
target clearance find chobani revlon claritin gt gt,yes,4,male,no,no,no,no,no,no,no,no,no,no
unidentified man take worth prilosec amp claritin jewel must one nasty cold,yes,3,male,no,no,no,no,no,no,no,no,no,no
loratadine buono prezzo la dieta claritin farmacia loratadine,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
new best friend please pa claritin sweet avoid,yes,4,female,no,no,no,no,no,no,no,no,no,no
low cost generic claritin online n cheap claritin mg par ginnyincula publi jeu oct g,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
cheapest claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
listed claritin allergy hour mg redi tab ct via amazon,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
claritin hour indoor amp outdoor allergy tablet bonus pack ea,yes,3,male,no,no,no,no,no,no,no,no,no,no
claritin reditabs hour allergy relief orally disintegrating tab treat allergy,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin reditabs hour allergy relief orally disintegrating tab treat allergy,yes,3,male,no,no,no,no,no,no,no,no,no,no
b tha egypt uae ambien drug wana n take claritin ambien walnut ridge saudi ksa bhr,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
child claritin mg grap review,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
generic claritin loratadine mg tab review,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
generic claritin loratadine mg tab review,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
nicashlee welcome coupon claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
non drowsy claritin allergy great coupon,yes,4,female,no,no,no,no,no,no,no,no,no,no
grab printable coupon claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
grab printable coupon claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
grab printable coupon claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
buying online claritin fedex delivery order buying online claritin fedex delivery order,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
renegadelost fine take something head claritin interaction info,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin dosage patient given different claritin dosage based several factor include,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
claritin pregnancy amp breastfeeding summary loratadine assigned pregnancy category b,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
intense jaw pain right side taking combination claritin zantac prescribed hive hive cle,yes,2,bad_link_or_company,no,no,no,no,no,no,no,yes,no,no
mujer amamanta su beb con marihuana peor q amamantarlo bajo los efectos de claritin afrin solodigo,non_english,,,,,,,,,,,,
bulldog health urgent claritin zyrtec vet told u give jack either day allergy,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
urgent claritin zyrtec vet told u give jack either day allergy suggestion,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
mostly wal quil claritin talking damn improv,yes,4,male,no,no,no,no,no,no,no,no,no,no
congested nose almost year long unless runny sneezy nose claritin help,yes,2,male,no,no,no,no,no,no,yes,no,no,no
bought claritin swipe show id told pharmacist someone might construe,yes,2,male,no,no,no,no,no,no,no,no,no,no
claritin seems helping thea somewhat help afternoon rather morning,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
letra da sica de pitty claritin n nabro bem boca npuxo ar com ne nada acontece nt tudo travado,non_english,,,,,,,,,,,,
safe medication take pregnancy n nallergy n nbenadryl diphenhydramine nclaritin ncheck doctor,yes,3,female,no,no,no,no,no,no,no,no,no,no
buy claritin fedex delivery distinguish food allergy amp reaction food person need med,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
order claritin buy without prescription anyone get allergy risk group make sure know enough,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
purchase claritin fedex delivery important misuse counter allergy medication order,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
purchase claritin order prescription free anaphylaxis severe condition may life threatening reac,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
purchase claritin without prescription severe hay fever may lead asthma sinusitis serious com,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
safe buy claritin buying without prescription last time attack asthma took amazing p,yes,4,male,no,no,no,no,no,no,no,no,no,no
best online price claritin order claritin online order claritin without prescription generic claritin,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
free sample claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
free sample claritin,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
claritin pode ser comprado na farm cia como loratadina medicamento generico,non_english,,,,,,,,,,,,
claritin pode ser comprado na farm cia como loratadina medicamento generico,non_english,,,,,,,,,,,,
claritin pode ser comprado na farm cia como loratadina medicamento generico,non_english,,,,,,,,,,,,
claritin pode ser comprado na farm cia como loratadina medicamento generico,non_english,,,,,,,,,,,,
claritin pode ser comprado na farm cia como loratadina medicamento generico,non_english,,,,,,,,,,,,
claritin pode ser comprado na farm cia como loratadina medicamento generico,non_english,,,,,,,,,,,,
claritin pode ser comprado na farm cia como loratadina medicamento generico,non_english,,,,,,,,,,,,
claritin pode ser comprado na farm cia como loratadina medicamento generico,non_english,,,,,,,,,,,,
claritin pode ser comprado na farm cia como loratadina medicamento generico,non_english,,,,,,,,,,,,
claritin pode ser comprado na farm cia como loratadina sulfato de pseudoefedrina medicamento generico,non_english,,,,,,,,,,,,
claritin pode ser comprado na farm cia como loratadina sulfato de pseudoefedrina medicamento generico,non_english,,,,,,,,,,,,
claritin pode ser comprado na farm cia como loratadina sulfato de pseudoefedrina medicamento generico,non_english,,,,,,,,,,,,
claritin pode ser comprado na farm cia como loratadina sulfato de pseudoefedrina medicamento generico,non_english,,,,,,,,,,,,
coupon child claritin cod delivery claritin require prior prescription buy claritin usa fedex shippi,yes,3,male,no,no,no,no,no,no,no,no,no,no
canadian pharmacy claritin prescription gb find buy claritin side effect overnight quick delivery gt gt gt,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
surprised one bit near top ugh pa kleenex claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
tried using claritin help bone pain experienced neulasta neupogen shot,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
child claritin mg grape chew review,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin child allergy grape taste oz review,yes,3,female,no,no,no,no,no,no,no,no,no,no
high value claritin allergy medicine coupon freeglade highvalueclaritincoupon highvalueprintablecoupon,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
merck claritin case social medium,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
claritin allergy medicine printable coupon,yes,3,female,no,no,no,no,no,no,no,no,no,no
kop claritin onlineapotek langtidseffekt kop claritin diskreta storbritannien,non_english,,,,,,,,,,,,
non drowsy claritin r liqui gel r available nallergy news medical news health news medical headline healt,yes,3,female,no,no,no,no,no,no,no,no,no,no
commander loratadine generic sarcelles commander loratadine generic sarcelles claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
buy brand claritin prescription buy brand claritin prescription buy,yes,3,male,no,no,no,no,no,no,no,no,no,no
cv weekly october th th ecb deal n nget ecb wyb non drowsy claritin ct childrens oz liqui,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
fall allergy bothering check month commissary saving coupon claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
check october special claritin use money saving coupon toward next purchase commissary,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
pharmaceutical social medium merck claritin case ncheck discussion,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
buy claritin without prescription research market infertility drug device market,yes,3,female,no,no,no,no,no,no,no,no,no,no
sigh yup impossible find claritin rt peoplespharmacy allergy season blown vengeance year,yes,2,female,no,no,no,no,no,no,no,no,no,no
claritin unfair marketing,yes,2,male,no,no,no,no,no,no,no,no,no,no
check today incredible featured coupon coupon claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
ah claritin rescue,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin nondrowsy allergy product ct larger gg,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
claritin nondrowsy allergy product ct larger gg printablecoupons,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
head shoulder illusion brought claritin noh still open suggestion e soup,yes,4,male,no,no,no,no,no,no,no,no,no,no
soup head shoulder illusion brought claritin noh still op mchale,yes,3,female,no,no,no,no,no,no,no,no,no,no
head shoulder illusion brought claritin noh still open suggestion,yes,3,male,no,no,no,no,no,no,no,no,no,no
head shoulder illusion brought claritin noh still open suggestion,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
head shoulder illusion brought claritin noh still open suggestion,yes,3,male,no,no,no,no,no,no,no,no,no,no
infamouzqueenb u tweeted ur dog allergy amp laughed claritin cont,yes,3,male,no,no,no,no,no,no,no,no,no,no
thanks claritin used take neozep non drowsiness robitusin benadryl gel capsule work temporarily cont,yes,5,unknown,no,no,no,no,no,no,no,no,no,no
jrmfan thanks took claritin minute ago taken effect yet know cont,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
sweetkeannekate yes claritin loltriviaonpinoyrealtv marielustour live,yes,3,female,no,no,no,no,no,no,no,no,no,no
hour allergy relief upper respiratory allergy claritin childrens hour allergy relief great grape liquid oz,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
zyrtec claritin n n,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
haz claritin chocolate milkshake rt wireduk geneticist engineer hypoallergenic milk combat allergy,yes,3,female,no,no,no,no,no,no,no,no,no,no
namanya claritin giduhan sih masih tp dikit soalnya pa beli obat gak beli antibiotik rt cont,non_english,,,,,,,,,,,,
diapotik je beli antibiotik juga je rt jesslynls belinya dimana nid rt nidarada namanya claritin je cont,non_english,,,,,,,,,,,,
namanya claritin je rt jesslynls mau niiiidddd apaaa nid obatnya rt nidarada wkwk sama berarti gua cont,non_english,,,,,,,,,,,,
belinya dimana nid rt nidarada namanya claritin je rt jesslynls mau niiiidddd apaaa nid obatnya rt cont,non_english,,,,,,,,,,,,
know boyfriend greatly improved process album along ortho generic claritin,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
g drug day claritin temporarily relief symptom due hay fever upper respiratory,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
ispeakcomedy girl sends text heyy im sick want claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
rt jonathanrknight nurse allegra claritin zyrtec different ingredient best,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
n vale colocar mascara rinite tome claritin kkk,non_english,,,,,,,,,,,,
mold count really high folk get claritin goin,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
feeling little dizzy short breath lately googled side effect claritin since take,yes,2,female,yes,no,no,yes,no,no,no,no,no,no
poor beck allergy boo hoo night long even taking claritin,yes,2,female,no,no,no,no,no,no,yes,no,no,no
got allergy give claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
grandma sent box full food got new sweater fall dad asked claritin sock family love,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
literally overdose claritin allergy,yes,3,female,no,no,no,no,no,no,no,no,no,no
dang lady claritin commercial put lot emphasis,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
allergy bothering give claritin dtweet,yes,4,male,no,no,no,no,no,no,no,no,no,no
arivip sambamlv whatever haha come n drown ur sorrow vodka claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
need claritin asap,yes,4,male,no,no,no,no,no,no,no,no,no,no
claritin clear falseadvertisement,yes,2,female,no,no,no,no,no,no,no,no,no,no
congested give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
took claritin yet live claritin clear lie,yes,2,male,no,no,no,no,no,no,yes,no,no,no
buy liquid claritin canada prescription buy claritin enter online pharmacy buy claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
buy liquid claritin canada prescription buy claritin enter online pharmacy buy claritin staticge tco agvyv,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
selkie beckshorter claritin basically year round might helping worse,yes,4,female,no,no,no,no,no,no,no,no,no,no
yeahitsdemani alright let get sum ready got claritin special prescription lls,yes,4,male,no,no,no,no,no,no,no,no,no,no
let get claritin rt whitstufff allergic,yes,4,male,no,no,no,no,no,no,yes,no,no,no
needed claritin sinus pressure amp nasal congestion amp uncle brings home regular claritin firstworldproblems,yes,4,female,no,no,no,no,no,no,no,no,no,no
ctfu hold hell coopasteady say claritin prescription im beyond finished ctfu,yes,3,male,no,no,no,no,no,no,no,no,no,no
allergy give claritin lololol justmadethatjokeup imfuckinghilarious,yes,4,female,no,no,no,no,no,no,no,no,no,no
juliana allergy maybe andres give claritin hahahahaaaaaaaa,yes,4,female,no,no,no,no,no,no,no,no,no,no
stfu rt daniellyyss juliana allergy maybe andres give claritin hahahahaaaaaaaa,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin reditabs convenient,yes,4,female,no,no,no,no,no,no,no,no,no,no
hahahahaha mademynight xd daniellyyss juliana allergy maybe andres give claritin hahahahaaaaaaaa,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
lmfaoo rt daniellyyss juliana allergy maybe andres give claritin hahahahaaaaaaaa,yes,3,male,no,no,no,no,no,no,no,no,no,no
claritin hahahaha,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
ran claritin stopped imaginethat,yes,4,female,no,no,no,no,no,no,no,no,no,no
said got stuffy nose gave claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
fuck claritin hour work,yes,1,female,no,no,no,no,no,no,yes,no,no,no
life support claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
possible overdose claritin,yes,2,female,no,no,no,no,no,no,no,no,no,no
juiicyjew yeah claritin help taking benadryl wish could figure bc sick lol,yes,2,female,no,no,no,no,no,no,yes,no,no,no
took claritin tylenol amp aleve smh shit aint working,yes,2,male,no,no,no,no,no,yes,no,yes,no,no
chill gone overdose rt africankush took claritin tylenol amp aleve smh shit aint working,yes,1,male,no,no,no,no,no,no,no,no,no,no
mom told claritin make feel high think convincing take allergy medicine trickster,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
alergies bad give claritin,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
algergis bad give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
katie rodriguez erox cold sick take claritin sheesh,yes,4,female,no,no,no,no,no,no,no,no,no,no
sneeze give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
claritin gonna start,yes,2,unknown,no,no,no,no,no,no,no,no,no,no
mom oh forgot claritin ndad carrot n ohmygosh parent lmao,yes,3,female,no,no,no,no,no,no,no,no,no,no
sleeping like buying claritin every damn night,yes,4,female,no,no,no,no,no,no,no,no,no,no
love go take claritin get ready bed see kara found went min,yes,4,male,no,no,no,no,no,no,no,no,no,no
give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
hot n spicys large powerade claritin time study,yes,3,male,no,no,no,no,no,no,no,no,no,no
bouta take nyquil claritin amp tylenol cold sinus,yes,4,female,no,no,no,no,no,no,no,no,no,no
julianna sand throat swelled really talk took claritin minute later better haha,yes,4,female,no,no,no,no,no,no,no,no,no,no
princess tayyyy sheewantsyourd hahaha thought one allergy give claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
bearded boy claritin commercial get,yes,3,female,no,no,no,no,no,no,no,no,no,no
female allergy dick natural claritin thefactsbook sex natural antihistamine,yes,3,male,no,no,no,no,no,no,no,no,no,no
sigue en tu swing que yo estoy claritin,non_english,,,,,,,,,,,,
claritin work shit,yes,1,female,no,no,no,no,no,no,yes,no,no,no
got party invite said allergic cat claritin amp alcohol typical atxproblems,yes,4,female,no,no,no,no,no,no,no,no,no,no
ashforgotten erything claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
fucking grandma trippin making lock romeo bc allergy knew comig shoulda brought claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
kool kayy cold hun lol doubt allergy amp claritin work xd,yes,4,female,no,no,no,no,no,no,no,no,no,no
shedreamsthed nasal congestion give claritin,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
